"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.02,1.78,"rcp85",2035,2065,2050,1991,"relative","CanESM2"
1.91,1.67,"rcp85",2035,2065,2050,1991,"relative","CanESM2"
1.87,1.63,"rcp85",2035,2065,2050,1991,"relative","CanESM2"
1.45,1.29,"rcp85",2035,2065,2050,1991,"relative","CanESM2"
1.5,1.38,"rcp85",2035,2065,2050,1991,"relative","CanESM2"
1.54,1.56,"rcp85",2035,2065,2050,1991,"relative","CanESM2"
1.5,1.53,"rcp85",2035,2065,2050,1991,"relative","CanESM2"
1.5,1.51,"rcp85",2035,2065,2050,1991,"relative","CanESM2"
1.6,1.48,"rcp85",2035,2065,2050,1991,"relative","CanESM2"
1.68,1.63,"rcp85",2035,2065,2050,1991,"relative","CanESM2"
2.01,1.9,"rcp85",2035,2065,2050,1991,"relative","CanESM2"
2.04,1.92,"rcp85",2035,2065,2050,1991,"relative","CanESM2"
